question: A major literary award is named for this man who died in 1837category: GIVE IT A "PUSH"	(Aleksandr) Pushkin
question: The Pascal variety of this crisp garden vegetable has nearly stringless stalkscategory: GARDENS	celery
question: "The Princes of Ireland" is vol. 1 of Edward Rutherfurd's "Saga" named for this capitalcategory: RECENT FICTION	Dublin
question: The leopard that exhibits melanism is commonly known as thiscategory: MAMMALS	a black panther
question: On the album "Court and Spark", Joni Mitchell lamented that she once felt better as "A free man" in this citycategory: CITIES IN SONG	Paris
question: Usually colorless, this liquid is the simplest oxygen hydridecategory: CHEMISTRY	Water
question: This part of the glass snake breaks off to help it escape when grabbedcategory: SCIENCE & NATURE	the tail
question: In June '97, National Geographic ran a 16-page article on the restoration of this thick-hulled frigatecategory: NATIONAL GEOGRAPHIC	U.S.S. Constitution
question: His record as the youngest international grand master in chess stood from 1958-1991category: PEOPLE	Bobby Fischer
question: Michael Douglas won an Oscar for his portrayal of scheming financier Gordon Gekko in this filmcategory: FILMS OF THE '80s	Wall Street
question: Bees & other animals also have wings, but birds are the only animals with these often colorful featurescategory: THE BIRDS & THE BEES	Feathers
question: The table of elements is "punctuated" by these horizontal rowscategory: CHEMISTRY	periods
question: This female trio has gone from singing on the streets of Dallas to the country & pop chartscategory: MUSICIANS	The Dixie Chicks
question: You might tiptoe through the tulips when you're in this country, seen herecategory: AROUND THE WORLD	the Netherlands (Holland)
question: 1964:Race car driver Lucky Jackson, who gets a job as a waiter in a casinocategory: ELVIS FILM ROLES	Viva Las Vegas
question: Referring to the attack on Pearl Harbor, FDR called December 7, 1941 "A date which will" do thiscategory: FDR	"Live in Infamy"
question: The name of this kids' store founded in 1976 recalls a term for a Boy Scout gatheringcategory: ONLY 351 SHOPPING DAYS TO XMAS	Gymboree
question: Pack your bags because Eddie Money had these, the title of a 1978 hitcategory: POP SONGS BY THE NUMBERS	"Two Tickets To Paradise"
question: This famous chef's sister Enola Prudhomme has her own Cajun cafe in Carencro, Louisianacategory: AMERICAN RESTAURANTS	Paul Prudhomme
question: Legend says the architect of this church on Red Square was blinded so he couldn't create another onecategory: ARCHITECTURE	St. Basil\'s
question: Kids kept after school & prisoners awaiting trial are held in itcategory: LEGAL LINGO	detention
question: Baba ghanoush is a Middle Eastern spread made with this purple-skinned vegetablecategory: FRUITS & VEGETABLES	the eggplant
question: Kangaroos, like Girl Scouts, come in these groupscategory: LET'S GET TOGETHER	troops
question: Past winners of the Pritzker Prize for this include I.M. Pei & Frank Gehrycategory: AWARDS & HONORS	architecture
question: Traditionally, use 2 oz. gin, 5 oz. tonic water & 1 lime wedge to make this drinkcategory: STUPID ANSWERS	a gin and tonic
question: Jazz great Morton, or his sweet snackcategory: LEADING "ROLL"s	jelly roll
question: While in the Orient, this character learned "the hypnotic power to cloud men's minds"category: OLD RADIO	The Shadow
question: Porky popped out of this type of drum at the end of many a Looney Tunecategory: PERCUSSION INSTRUMENTS	Bass drum
question: Reigning from around 67 to 79 A.D., Linus is considered to be the second man to hold this positioncategory: NOT NO. 1	Pope
question: The maidenhair fern reproduces by these, not seedscategory: GARDENING	spores
question: "Get on the Bus","Malcolm X","He Got Game"category: NAME THE DIRECTOR	Spike Lee
question: Montreal & Quebec Citycategory: A RIVER RUNS THROUGH IT	the St. Lawrence
