Adam gave his friend an apple instead of an orange because his friend was quite fond of the _ . (A) orange (B) apple	apple
William wants to file a lawsuit so he asks Aaron for help, because _ is a lawyer. (A) William (B) Aaron	Aaron
Brian suffers a lot from loneliness compared to Brett because _ has lost all of his family. (A) Brian (B) Brett	Brian
Cynthia recommended a high protein diet to Elena , even though _ was more knowledgeable about nutrition than she was. (A) Cynthia (B) Elena	Elena
I wanted to download new files onto my computer but there was not enough space. The _ was too limited. (A) file (B) space	space
He bought her a plain band but she wanted a ring with a gemstone - the _ was much pricier. (A) band (B) gemstone	gemstone
It took me longer to do the drawing of the house than the drawing of the tree because the _ was basic. (A) tree (B) house	tree
Sarah had a difficult childhood but Kayla had a spoiled one. _ never received gifts on their birthday. (A) Sarah (B) Kayla	Sarah
Although he was 50, James wanted to go skiing with his boyfriend but he wasn't very fit. They chose surfing instead because the _ was easier. (A) surfing (B) skiing	surfing
Amy decorated the eggs with glitter and it got on the book as well. The _ looked messy afterward. (A) book (B) eggs	book
Laura hates to cook more than Carrie because cooking is _ favorite hobby right now. (A) Laura (B) Carrie	Carrie
Even though the state is smaller than the country, it is better because the _ has lots of debt.. (A) state (B) country	country
The throw cleared the fence but crashed into the wall, as the _ was so much higher. (A) fence (B) wall	wall
She didn't want to calculate the cost of the car instead of the scooter, since the _ was expensive. (A) car (B) scooter	car
Victoria told Erin that she had never done any type of  skiing before.  _ was afraid. (A) Victoria (B) Erin	Victoria
We added strawberry flavor to the milk but not the cream, since the _ tasted worse with it. (A) milk (B) cream	cream
Neal didn't apply for a trombone scholarship, but he did apply for a piano scholarship because he'd always been great at the _ . (A) trombone (B) piano	piano
William wants to file a lawsuit so he asks Aaron for help, because _ knows nothing about law. (A) William (B) Aaron	William
The college campus was told to close because the weather was threatening to be very bad. The _ was predictable and followed the rules. (A) weather (B) college	college
Samantha is considered to be the better dog breeder than Patricia, so _ must do crappier on the AKC inspection. (A) Samantha (B) Patricia	Patricia
Christopher admired the beard that Nick had grown, so _ asked how he did it. (A) Christopher (B) Nick	Christopher
When it was time to go, we took the train instead of the taxi because the _ would take longer to get home. (A) taxi (B) train	taxi
Ursula only bought the parchment paper on sale instead of the plain paper, because the _ was usually more expensive. (A) parchment paper (B) plain paper	parchment paper
Emily avoided getting the hypothermia that Maria succumbed to, because _ had worn appropriate clothing. (A) Emily (B) Maria	Emily
I bought a new picture but it wouldn't fit in the frame, because the _ was too weak. (A) picture (B) frame	frame
the statistics show many females compared to the males are being born everyday, the _ are few. (A) females (B) males	males
Rebecca wondered how Maria kept so trim , so _ offered her diet and exercise advice. (A) Rebecca (B) Maria	Maria
Lawrence gets a better workout at the gym than Craig because _ paid for a personal trainer. (A) Lawrence (B) Craig	Lawrence
The cucumber tasted much better than the tomato did because the _ was much greener. (A) cucumber (B) tomato	tomato
Logan got pink eye but Eric was clear, because _ avoided people who had been exposed. (A) Logan (B) Eric	Eric
The scratches were deep on the table but did not harm the door, as the _ was vulnerable to damage. (A) table (B) door	table
The chocolate could not be sliced with the knife because the _ it too blunt. (A) chocolate (B) knife	knife
